key,yt_id,start_time,end_time,annotation
yzBokd4ckSA-111682000-118086000,yzBokd4ckSA,111682000,118086000,the main reason i like the weldcrete is number one has never failed me i've never had a color coat separate from a house
MLTFmVgfkd8-61739999-63728000,MLTFmVgfkd8,61739999,63728000,and tape the end
JEtnR5Nnbe4-921150000-926040000,JEtnR5Nnbe4,921150000,926040000,but it is the largest katydid i have ever come across
nJ2h7zQNwnA-326070000-328976000,nJ2h7zQNwnA,326070000,328976000,i'll grill for about three minutes on one side
Zx3JBtdCM80-357859999-368606000,Zx3JBtdCM80,357859999,368606000,condiment just takes over and ruins the fish flavour because it's so subtle and this is a really soft white fish with a beautiful subtle flavour
k_QTMw7stGs-236570000-242812000,k_QTMw7stGs,236570000,242812000,the quiche smells buttery the crust is crispy and crumbly and the fillings are amazing
iFFeIT4n4zU-595430000-601218000,iFFeIT4n4zU,595430000,601218000,just a practice for me but it's already making this violin look
joL0ClvRlRU-59619000-65910000,joL0ClvRlRU,59619000,65910000,where we also announce our annual ant love contest where we give away a full ant setup
vm9KINwHcAE-448669000-450999000,vm9KINwHcAE,448669000,450999000,and if it flies well for you
2Bns2m5Bg4M-127659000-133104000,2Bns2m5Bg4M,127659000,133104000,and then to open and close the chopsticks we just do the movement that we learned with our first and second finger
mTbXYWfrmBw-209629000-215773000,mTbXYWfrmBw,209629000,215773000,a net gloves and guess what it is for look at these weird gloves it's a net gloves
U-uQv_fLvCE-56939000-60165000,U-uQv_fLvCE,56939000,60165000,how did we get a disney princess egg in there
oToAYJTdO8c-68820000-73160000,oToAYJTdO8c,68820000,73160000,wash mung beans several times with tap water
R6mQOIICl9I-333599000-338964000,R6mQOIICl9I,333599000,338964000,i also machine these grooves allowing me to easily divide the drawers according to my needs
BtRnUDocwdI-23639999-27232000,BtRnUDocwdI,23639999,27232000,all lilly pillies like a welldrained soil
FMnDWdbT31s-405400000-410674000,FMnDWdbT31s,405400000,410674000,next add the seasoning the dark soy sauce chili bean sauce sugar and salt
BBRoJ7FkG7g-157790000-161399999,BBRoJ7FkG7g,157790000,161399999,so now two of the seeds i will
_5NiWY3jxxY-122350000-126514000,_5NiWY3jxxY,122350000,126514000,if it cant breach it aint worth a shit the axe is forged from one piece of
y2Xz4ei7v_E-14648000-17212000,y2Xz4ei7v_E,14648000,17212000,when guests are gone it stays in couch mode
hGQNysZpu90-47279000-50505000,hGQNysZpu90,47279000,50505000,okay to make your furrows just take the corner of your hoe
JAYgKZmQFhE-133750000-137977999,JAYgKZmQFhE,133750000,137977999,you can choose to have several pegs lines installed on the wall by the sink instead
81tySsDtWWs-14560000-22248000,81tySsDtWWs,14560000,22248000,this one is to mix all the slime this one is for the borax and water mixture and this one is for the glue
S5a-IARwG5M-8340000-12334000,S5a-IARwG5M,8340000,12334000,today we're going to look at planting our cucurbits like our pumpkins squash
wlvtgMXZfZM-40312000-44540000,wlvtgMXZfZM,40312000,44540000,now i like to cut my soft shell crab in half at an angle just like this
qEIpCAHvvK4-32101999-34986000,qEIpCAHvvK4,32101999,34986000,because that can cause your balloon to pop
gv1e4kkgbrI-82449000-86377999,gv1e4kkgbrI,82449000,86377999,and a munter hitch is used in climbing as a friction knot
jgbDsH_kWqc-325849999-329734000,jgbDsH_kWqc,325849999,329734000,we need a rounded pencil to roll the wings
UfFymmg1IDE-469299999-472730000,UfFymmg1IDE,469299999,472730000,so one treble into that very same space
2MAZNolZpTQ-31909999-35852000,2MAZNolZpTQ,31909999,35852000,and begin to bind scrape down the sides as needed
8MHoJAA6PIc-813549000-817553000,8MHoJAA6PIc,813549000,817553000,glue a row of cotton balls to the bottom part of the santa's hat
XuADkFmeMIo-96220000-98685000,XuADkFmeMIo,96220000,98685000,and then once you've got your caulk gun and your caulk
rTKV5-ZSWcE-453346000-457254000,rTKV5-ZSWcE,453346000,457254000,without touching the tomato let's make some carpaccio
nzVWfxu98eg-219100000-224816000,nzVWfxu98eg,219100000,224816000,and then pass through the new bead our last bead of this row
RDwxSUDocsc-144580000-150086000,RDwxSUDocsc,144580000,150086000,squeeze excess water from softened gelatin and add to the saucepan
FmTEmmksQYM-53350000-59087000,FmTEmmksQYM,53350000,59087000,of course you can rent the gas cutter from the tool rental center but it's overkilled
KpLCKUTEuGA-142219000-144911000,KpLCKUTEuGA,142219000,144911000,not a huge amount bit of salt on there
DloeRxrmrqM-42010000-44374000,DloeRxrmrqM,42010000,44374000,which we're going to use it as our rasam powder
3tvrnE8vQqw-754180000-761566000,3tvrnE8vQqw,754180000,761566000,the drawer underneath has face products like primers foundations bb creams cc creams powders and blushes
5hMuLPIdAb0-236100000-240926000,5hMuLPIdAb0,236100000,240926000,once you have your rope all knotted off at the top and the bottom and it's all secure in place
lSmy9Sg74hQ-251780000-255311000,lSmy9Sg74hQ,251780000,255311000,bring him down a little bit like that the cummerbund comes up
vcc5-ry4fA0-197760000-201823999,vcc5-ry4fA0,197760000,201823999,noting that chainring bolts require significantly less torque than a crank bolt
NVFUTYDf4LE-83909000-86226000,NVFUTYDf4LE,83909000,86226000,slip the next one as if to pearl
yDjlRu4CnjI-228550000-232352000,yDjlRu4CnjI,228550000,232352000,turning the barrel adjuster clockwise effectively lengthens the cable
bsNKYg35ZVw-157880000-160273999,bsNKYg35ZVw,157880000,160273999,you can clearly see the wiper
_OzEZBetJR0-378239999-386876000,_OzEZBetJR0,378239999,386876000,after making a dry assembly i got a bit nervous because then i couldn't remove some of the tenons that were so perfectly fitted
tl3zC7XDdl8-69500000-73238000,tl3zC7XDdl8,69500000,73238000,once the fish is ready we can rinse it under cold water
O3z9k0DYGgg-3549000-8002000,O3z9k0DYGgg,3549000,8002000,and i hear this ding and i thought my ceiling fan was gonna fall off
kfGfFq35us0-244699000-248581000,kfGfFq35us0,244699000,248581000,for example a moet and chandon brut imperial nonvintage
qgoWqDafEWo-34360000-36370000,qgoWqDafEWo,34360000,36370000,after sanding down the edge a little bit
uO3KeT0bDn0-186770000-193432000,uO3KeT0bDn0,186770000,193432000,because i'm using some parisian inspired ingredients like the mushrooms the champignons de paris
Ad-NOC4k8wQ-315109999-320438000,Ad-NOC4k8wQ,315109999,320438000,so now we arrive at the second fries shop which is called frites atelier
jjxRSZOXNqo-169510000-172516000,jjxRSZOXNqo,169510000,172516000,then add the soaked and strained dal
zTyvoh0WF2g-147254000-149114000,zTyvoh0WF2g,147254000,149114000,clearing your iphone's ram
py2kPbSsgmA-122440000-126667999,py2kPbSsgmA,122440000,126667999,individual onions can be placed carefully into net bags
u89O3wIfDpE-371020000-373670000,u89O3wIfDpE,371020000,373670000,and this hive is doing pretty well so
xydr_0UDQuk-259729999-263444000,xydr_0UDQuk,259729999,263444000,guys i think it's a butter slime
a53Yt4vf0E4-109119000-116064000,a53Yt4vf0E4,109119000,116064000,keeping adequate moisture to your corn when it gets up to this stage can be problematic the way we used to have to do it
xGh8-r4zcBM-45083999-47968000,xGh8-r4zcBM,45083999,47968000,the long end of the straw is on the top bottle
pnpHJdOKbcU-123160000-127730000,pnpHJdOKbcU,123160000,127730000,it tastes like watercress but milder like not as peppery as watercress
8lxTweXx3Ao-40729000-44594000,8lxTweXx3Ao,40729000,44594000,start small cause we can always cut more off but you cannot put more bag on
uMG6nKOq0pk-77036000-81007999,uMG6nKOq0pk,77036000,81007999,and we're going to inspect our oreos we'll get this thing opened up
NTbfmfMWK6Q-173756000-177024000,NTbfmfMWK6Q,173756000,177024000,and repeat the same fold for the opposite side
x-Q_0EoZW_I-908829999-916088000,x-Q_0EoZW_I,908829999,916088000,when you're ready add one teaspoon of borax into one cup of hot water and slowly add it to your iceberg slime mix
EFEBIBxbJSs-272640000-278770000,EFEBIBxbJSs,272640000,278770000,great idea of that fur texture it is just like there is nothing there look at how
z7ArmXybJnI-328128999-334853000,z7ArmXybJnI,328128999,334853000,and you'll have a chance to have a new rotatable fancy shoe rack you usually only see in a fancy shoe store
27XQ6k3bw0E-317590000-320398000,27XQ6k3bw0E,317590000,320398000,this dessert definitely deserves a happy dance
V5MySBcsBQY-116130000-123428000,V5MySBcsBQY,116130000,123428000,give the skull a glow by securing a batteryoperated light to the surface where you plan to display the skull using a piece of modeling clay
SzNkM9x2aFY-126579000-129339000,SzNkM9x2aFY,126579000,129339000,and then i can go ahead and sew from this screen
2Hs-VBPOYSo-31900000-35426000,2Hs-VBPOYSo,31900000,35426000,in the corn with your knife about half way through
YGGYYNJQUAw-217099000-219230000,YGGYYNJQUAw,217099000,219230000,our rosties are good to go as well
yS0qQuxu-yk-60590000-62988000,yS0qQuxu-yk,60590000,62988000,the second one is lemon thyme
Ax23L0oQIxc-345609999-357774000,Ax23L0oQIxc,345609999,357774000,hey it seems to have worked even today the residents of fuggerei literally worship jakob and the fugger family they've even opened a museum there to showcase the legacy of the fugger family
R-1GT1cPtTM-95769000-97893999,R-1GT1cPtTM,95769000,97893999,a lot of people tend to palm like this
5pQ4B9_nQr4-86873000-94109000,5pQ4B9_nQr4,86873000,94109000,from there it goes to a five point so one between the crotch and then to a six point which is the ultimate in safety with two between the crotch
yOUkXpS0jbc-73830000-77504000,yOUkXpS0jbc,73830000,77504000,and then using the secateurs
H5amAT4Mdxk-169250000-172667999,H5amAT4Mdxk,169250000,172667999,one of the biggest dryer vent clogs i've ever seen
AmRzxvt_txw-97500000-99445999,AmRzxvt_txw,97500000,99445999,parsely goes into the sauce
gsuDp_LUk5c-137570000-142844000,gsuDp_LUk5c,137570000,142844000,so jeff this is an espresso as you can see the crema and
I0dYWtua97Y-724965000-734889000,I0dYWtua97Y,724965000,734889000,that is still made out of a higher quality cotton in my opinion than the newer shorts you can buy these days my shoes are casual summer shoes called alpergatas from spain
shzFq9R0C08-181290000-185392000,shzFq9R0C08,181290000,185392000,now when they were fertile lines what that means is how many basically
g9fT5SPHwGM-4059000-9026000,g9fT5SPHwGM,4059000,9026000,tiling as well as the balance of the front blade and the back blade
T_WKh4P4-a0-41309999-44984000,T_WKh4P4-a0,41309999,44984000,that's right metal rescue is safe on everything except rust
GU3PcztIBQs-431900000-435402000,GU3PcztIBQs,431900000,435402000,you can even color this icing if you wish
mqSo3kWmFSM-257448999-260650000,mqSo3kWmFSM,257448999,260650000,so it does not create a crust when refrigerated
amnaZ3et2tY-391409000-394552000,amnaZ3et2tY,391409000,394552000,the mower did a good job exactly what i wanted
P8r6R2QmljM-201300000-205550000,P8r6R2QmljM,201300000,205550000,and the tail meat is a little different than the claw meat the tail meat is a little more firmer
KFk0eeQvTyw-1177610000-1180644000,KFk0eeQvTyw,1177610000,1180644000,and then the rice has got a great texture
FgTjGGYGS7g-174730000-177892000,FgTjGGYGS7g,174730000,177892000,brush the mustard mixture on the surface of the dough
MptrypvBTag-492250000-496226000,MptrypvBTag,492250000,496226000,henri poincare such orbits have a resonance period
RigANqmm2b0-463849000-467203000,RigANqmm2b0,463849000,467203000,then i fold all the squares into origami pixels
Fu5u6pGuxgI-342760000-346818000,Fu5u6pGuxgI,342760000,346818000,also trying his hand at cyclocross this weekend was andre greipel
_7sezyuPsDE-256029999-259512000,_7sezyuPsDE,256029999,259512000,good braking technique does take a little bit of practice
BjNVV2yK6DA-108190000-112874000,BjNVV2yK6DA,108190000,112874000,and now toast the mushrooms until they are well coated with the butter and oil
XHgxISMPs5M-101238000-103098000,XHgxISMPs5M,101238000,103098000,love this garlic press
xUPLQpa8Wvg-276720000-279610000,xUPLQpa8Wvg,276720000,279610000,two slices in each club sandwich
8PoK-_aJGUU-447270000-450714000,8PoK-_aJGUU,447270000,450714000,and then feed the dough through the machine
9tieoNIdllM-133440000-137370000,9tieoNIdllM,133440000,137370000,we now have two expressions for the variable s
zgyjEoOD8Y4-267630000-273032000,zgyjEoOD8Y4,267630000,273032000,these mini pretzels are crunchy flaky and full of chrismas flavours
afpVIWKAyFI-105200000-110699999,afpVIWKAyFI,105200000,110699999,now for the mediterranean sandwich i'm starting off with hummus put that on both sides of the bread
AXwC1YH0UHg-380359999-385114000,AXwC1YH0UHg,380359999,385114000,put it on to a rigid modern altaz mount
TJ2a_FNdDQI-185498000-190878000,TJ2a_FNdDQI,185498000,190878000,well done bosch i'll feed those two
KhVM0aSpirY-55708999-61894000,KhVM0aSpirY,55708999,61894000,it came off easily but it also didn't bring any roots with it but that's okay they root on their own very
JN-h_VSwkwc-10199000-17286000,JN-h_VSwkwc,10199000,17286000,pumpkins to make pumpkin soup and pumpkin pie and my favorite pumpkin muffins come on with me let's go
cVMBzX2mdAU-64175000-67029000,cVMBzX2mdAU,64175000,67029000,its had some wear and maybe over the years
NP4bhqiKEG0-355219000-361615000,NP4bhqiKEG0,355219000,361615000,on top and then roll start from one side i usually like to start from the crisscross end here
BQVeFEV8swo-114729000-120451000,BQVeFEV8swo,114729000,120451000,have a sterilized jar ready to use and put the syrupy jam into the clean jar
zEu2v0z48Qc-556579999-560097000,zEu2v0z48Qc,556579999,560097000,once everything's attached you may go ahead and move forward and attach your blade arm
RHrGEzZv1gk-9209000-12384000,RHrGEzZv1gk,9209000,12384000,start off by taking some ghee in a saucepan
SFCdO3SDs9g-23218000-25944000,SFCdO3SDs9g,23218000,25944000,and then cut the sleeves and top of your shirt
4PMF3dD4kGs-554459999-557134000,4PMF3dD4kGs,554459999,557134000,to be ready for later let's wash the
#NAME?,#NAME?,167499000,173029000,our next frozen yogurt flavor are two fruits that work in harmony with each other strawberry and banana
4RY1Z9pG_34-38910000-44286000,4RY1Z9pG_34,38910000,44286000,i planted the potatoes a few inches under the soil and then mulched the bed with several inches of leaves
1b1rBL915rg-153902000-162097999,1b1rBL915rg,153902000,162097999,and now let's roll up the pepper strips taking one end of the strip and roll it onto itself into a spiral shape
SA3gVDiaJCw-630140000-634054000,SA3gVDiaJCw,630140000,634054000,to the bar of the toggle clasp
wqbm13g9wew-277962000-282830000,wqbm13g9wew,277962000,282830000,and this is now programmed to do decorative stitch number two
PKh2pbBfvGI-103299000-107390000,PKh2pbBfvGI,103299000,107390000,there's also dicentra spectabilis alba which has white flowers and
_pPCASvqNO8-287868000-292416000,_pPCASvqNO8,287868000,292416000,and voila we have us this really cool braid
daSyezArFK8-66540000-71533999,daSyezArFK8,66540000,71533999,spoon the looseleaf tea into the teapot or the infuser or inset basket
37afp6dJ40g-389989999-393963000,37afp6dJ40g,389989999,393963000,now removing the tape that protected the tenons from the finish
OpjQy_BovjY-38379999-42182000,OpjQy_BovjY,38379999,42182000,and at the end still harvest good amount of peas
GbA72FshYnY-31330000-36924000,GbA72FshYnY,31330000,36924000,we just got to this cafe called pastel rita it looks like
tWCwmxy0nB8-70460000-75734000,tWCwmxy0nB8,70460000,75734000,once the edges of the pancakes start to form you can either use a skewer or a spoon to flip it over
uadkPbJScdI-237924000-241000000,uadkPbJScdI,237924000,241000000,now if you're gonna have ornaments on your tree
LP9wPSn-QKc-34330000-37862000,LP9wPSn-QKc,34330000,37862000,i bought this plant to add to my collection of herbs
bU3bn4UO8eE-38229000-40847000,bU3bn4UO8eE,38229000,40847000,we're gonna go in now with the chorizo
4_MFHOCwbd8-62711000-68347000,4_MFHOCwbd8,62711000,68347000,we believe these cufflinks are perfect to start because they are very versatile
uv7Xd-3q6UA-141282000-143910000,uv7Xd-3q6UA,141282000,143910000,okay i like to keep my taste doughy
9jpyXinUiW0-65060000-69693999,9jpyXinUiW0,65060000,69693999,make sure that the door and panel have been equally adjusted on all expansion points
KlQGPlbtOE8-31330000-33197000,KlQGPlbtOE8,31330000,33197000,here we're just patching a lawn
YFXamn5cia4-63430000-65545999,YFXamn5cia4,63430000,65545999,the bee's stomach a lot of the water gets absorbed
DLaqtQrdo2A-292780000-294918000,DLaqtQrdo2A,292780000,294918000,add a ground coriander
tne-cog8Wck-46830000-49416000,tne-cog8Wck,46830000,49416000,we have a fairly even cake now
GMAd2XDMHts-49040000-51754000,GMAd2XDMHts,49040000,51754000,we've had a reef in the main all night long
cHnBx2kPueM-138190000-140360000,cHnBx2kPueM,138190000,140360000,we want to take two eggs
U1nkBI4cVkA-100050000-103693999,U1nkBI4cVkA,100050000,103693999,drop in the garlic and cook until it becomes fragrant
2kM9nTlorE0-285239999-290272000,2kM9nTlorE0,285239999,290272000,before i started making the moss i found it easier to separate the moss out
X3LoujVB23c-320679999-323586000,X3LoujVB23c,320679999,323586000,now i'm going to add some rosehips
7h_mB0WW0jM-10890000-14124000,7h_mB0WW0jM,10890000,14124000,in the center of a seething cosmic maelstrom
Egxhl4XznLw-71560000-74722000,Egxhl4XznLw,71560000,74722000,the mash is lovely and smooth now it's ready to go into the bowl
r4hCxQns8ac-291628000-294832000,r4hCxQns8ac,291628000,294832000,use the thermometer to ensure the meat is cooked
vbbQxOJbK7s-391390000-396984000,vbbQxOJbK7s,391390000,396984000,if you decide to wear a blazer or an odd jacket i strongly recommend you wear a bold pocket square
Q_tepzsJQ6I-417619000-424989000,Q_tepzsJQ6I,417619000,424989000,once you have enough sauce take a tooth pick and start to swirl it around incorporating the brownie and caramel sauce together
9TPTd2GPJuY-310429999-314232000,9TPTd2GPJuY,310429999,314232000,delosperma cooperi tiny
AKPBLzsXJZk-135090000-138700000,AKPBLzsXJZk,135090000,138700000,now we're gonna dye these batters blue and gray
gxrKuuS-7VM-367909999-370880000,gxrKuuS-7VM,367909999,370880000,but i forgot to move the rest of the tulle out of the way
43kpY1TA5cU-51760000-56123000,43kpY1TA5cU,51760000,56123000,so the first thing is to grab your can opener and remove the top of the coke can
zUKFG_Y2pBk-232710000-235552000,zUKFG_Y2pBk,232710000,235552000,the bike follows naturally makes it a lot easier
YBNsjKfj_1A-147309000-149469000,YBNsjKfj_1A,147309000,149469000,or worse cut her eyelashes
_4ktyvxl-vg-135330000-140368000,_4ktyvxl-vg,135330000,140368000,when placed back in water or soil the stalk will grow new shoots in a month or so
bH5uvSYokt0-60110000-64699999,bH5uvSYokt0,60110000,64699999,and then we just rinse that guy off after now we're just pulling the
M2Yu_B3F3cU-115769000-118000000,M2Yu_B3F3cU,115769000,118000000,put the circuit board to one side
7mgPmUdG2ls-89440000-95314000,7mgPmUdG2ls,89440000,95314000,after brewing is complete the brew group deposits the puck of used coffee into a dredge drawer
ZsowLtZ9ZXM-132850000-135884000,ZsowLtZ9ZXM,132850000,135884000,and takes a bit more sun than daphne odora
VRAbkPuTMGs-293460000-297908000,VRAbkPuTMGs,293460000,297908000,back and forth across this small ceiling
dnllHqVDC6Y-76909000-81607000,dnllHqVDC6Y,76909000,81607000,use a fork to start combining the flour with the yeast mixture
EFMbnWrVucw-289859999-292274000,EFMbnWrVucw,289859999,292274000,and i can start spraying my clear coat
5QC4IXsz6-U-972388000-979146000,5QC4IXsz6-U,972388000,979146000,oh no here comes the other big indominus rex in the chaos effect thresher
ZIxMHEVdXyw-32670000-36072000,ZIxMHEVdXyw,32670000,36072000,mix to dissolve the cocoa powder into the hot water
